signal_date,entry_date,exit_date,side,entry,exit,target,target_hit,target_bars,exit_reason,gross_return,net_return,mfe,initial_stop_atr,trail_atr,hold_bars,timeframe,donchian,adx_min
2018-12-04 00:00:00+00:00,2018-12-06 00:00:00+00:00,2018-12-27 00:00:00+00:00,long,1237.5,1277.300048828125,0.03,True,14.0,time_exit,0.0321616556186867,0.0316616556186867,0.0322424439709596,2.0,1.5,15,1d,50,15
2018-12-07 00:00:00+00:00,2018-12-10 00:00:00+00:00,2018-12-31 00:00:00+00:00,long,1249.5999755859375,1278.300048828125,0.03,False,,time_exit,0.0229674086130884,0.0224674086130884,0.025368176905832,2.0,1.5,15,1d,50,15
2018-12-20 00:00:00+00:00,2018-12-21 00:00:00+00:00,2019-01-15 00:00:00+00:00,long,1260.300048828125,1286.199951171875,0.03,False,,time_exit,0.0205505842579571,0.0200505842579571,0.0268982790052825,2.0,1.5,15,1d,50,15
2018-12-24 00:00:00+00:00,2018-12-26 00:00:00+00:00,2019-01-22 00:00:00+00:00,long,1269.300048828125,1282.5,0.03,False,,time_exit,0.010399393889618,0.009899393889618,0.0196170341021719,2.0,1.5,15,1d,50,15
2018-12-28 00:00:00+00:00,2018-12-31 00:00:00+00:00,2019-01-28 00:00:00+00:00,long,1278.0,1302.4000244140625,0.03,False,,time_exit,0.0190923508717233,0.0185923508717233,0.0227699339483078,2.0,1.5,15,1d,50,15
2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,2019-01-04 00:00:00+00:00,long,1294.199951171875,1276.314208984375,0.03,False,,initial_stop,-0.0138199218531145,-0.0143199218531145,0.0,2.0,1.5,15,1d,50,15
2019-02-19 00:00:00+00:00,2019-02-20 00:00:00+00:00,2019-02-21 00:00:00+00:00,long,1342.199951171875,1322.67138671875,0.03,False,,initial_stop,-0.0145496685766338,-0.0150496685766338,0.0013411182339511,2.0,1.5,15,1d,50,15
2019-02-20 00:00:00+00:00,2019-02-21 00:00:00+00:00,2019-02-28 00:00:00+00:00,long,1331.300048828125,1313.100062779018,0.03,False,,initial_stop,-0.0136708370627099,-0.0141708370627099,0.0027041053510863,2.0,1.5,15,1d,50,15
2019-06-20 00:00:00+00:00,2019-06-21 00:00:00+00:00,2019-07-12 00:00:00+00:00,long,1406.0,1409.9000244140625,0.03,False,,time_exit,0.0027738438222351,0.0022738438222351,0.0199146514935988,2.0,1.5,15,1d,50,15
2019-06-24 00:00:00+00:00,2019-06-25 00:00:00+00:00,2019-07-01 00:00:00+00:00,long,1418.0999755859375,1387.0428118024554,0.03,False,,initial_stop,-0.0219005460250781,-0.0224005460250781,0.0107186189294636,2.0,1.5,15,1d,50,15
2019-08-05 00:00:00+00:00,2019-08-06 00:00:00+00:00,2019-08-13 00:00:00+00:00,long,1469.699951171875,1497.500008719308,0.03,True,5.0,trailing_stop,0.0189154647009863,0.0184154647009863,0.0419814079690146,2.0,1.5,15,1d,50,15
2019-08-06 00:00:00+00:00,2019-08-07 00:00:00+00:00,2019-08-13 00:00:00+00:00,long,1473.5,1497.500008719308,0.03,True,5.0,trailing_stop,0.016287756171909,0.015787756171909,0.0392942140577281,2.0,1.5,15,1d,50,15
2019-08-07 00:00:00+00:00,2019-08-08 00:00:00+00:00,2019-08-28 00:00:00+00:00,long,1498.4000244140625,1537.800048828125,0.03,False,,time_exit,0.0262947302269762,0.0257947302269762,0.0299653121212544,2.0,1.5,15,1d,50,15
2020-01-03 00:00:00+00:00,2020-01-06 00:00:00+00:00,2020-01-06 00:00:00+00:00,long,1580.0,1562.142857142857,0.03,False,,initial_stop,-0.0113019891500903,-0.0118019891500903,0.0,2.0,1.5,15,1d,50,15
2020-02-19 00:00:00+00:00,2020-02-20 00:00:00+00:00,2020-02-24 00:00:00+00:00,long,1606.5,1661.5071498325892,0.03,True,3.0,trailing_stop,0.0342403671538058,0.0337403671538058,0.0498599287805399,2.0,1.5,15,1d,50,15
2020-02-20 00:00:00+00:00,2020-02-21 00:00:00+00:00,2020-02-24 00:00:00+00:00,long,1619.300048828125,1661.5071498325892,0.03,True,2.0,trailing_stop,0.0260650279329079,0.0255650279329079,0.0415611219221025,2.0,1.5,15,1d,50,15
2020-02-21 00:00:00+00:00,2020-02-24 00:00:00+00:00,2020-02-28 00:00:00+00:00,long,1657.0,1625.957170758929,0.03,False,,initial_stop,-0.0187343568141649,-0.0192343568141649,0.0178635941979103,2.0,1.5,15,1d,50,15
2020-04-09 00:00:00+00:00,2020-04-13 00:00:00+00:00,2020-04-17 00:00:00+00:00,long,1722.0,1712.2142857142858,0.03,True,2.0,trailing_stop,-0.0056827609092416,-0.0061827609092416,0.0307781649245064,2.0,1.5,15,1d,50,15
2020-04-13 00:00:00+00:00,2020-04-14 00:00:00+00:00,2020-05-04 00:00:00+00:00,long,1756.800048828125,1706.9000244140625,0.03,False,,time_exit,-0.028403929318734,-0.028903929318734,0.0103597169091698,2.0,1.5,15,1d,50,15
2020-06-30 00:00:00+00:00,2020-07-01 00:00:00+00:00,2020-07-22 00:00:00+00:00,long,1793.5999755859375,1864.0999755859373,0.03,True,15.0,time_exit,0.0393064233717825,0.0388064233717825,0.040923296952033,2.0,1.5,15,1d,50,15
2020-07-07 00:00:00+00:00,2020-07-08 00:00:00+00:00,2020-07-27 00:00:00+00:00,long,1801.5,1910.624973842076,0.03,True,11.0,trailing_stop,0.0605745067122263,0.0600745067122263,0.0757701915070774,2.0,1.5,15,1d,50,15
2020-07-08 00:00:00+00:00,2020-07-09 00:00:00+00:00,2020-07-27 00:00:00+00:00,long,1816.0999755859373,1910.624973842076,0.03,True,11.0,trailing_stop,0.0520483450949011,0.0515483450949011,0.0671218688688839,2.0,1.5,15,1d,50,15
2020-07-21 00:00:00+00:00,2020-07-22 00:00:00+00:00,2020-07-27 00:00:00+00:00,long,1858.0999755859373,1910.624973842076,0.03,True,4.0,trailing_stop,0.0282681227847145,0.0277681227847145,0.0430009286173458,2.0,1.5,15,1d,50,15
2020-07-22 00:00:00+00:00,2020-07-23 00:00:00+00:00,2020-07-27 00:00:00+00:00,long,1868.699951171875,1910.624973842076,0.03,True,3.0,trailing_stop,0.0224353956042591,0.0219353956042591,0.0370846313688115,2.0,1.5,15,1d,50,15
2020-07-23 00:00:00+00:00,2020-07-24 00:00:00+00:00,2020-07-30 00:00:00+00:00,long,1884.300048828125,1936.096396309989,0.03,True,3.0,trailing_stop,0.0274883755981838,0.0269883755981838,0.0428806053516068,2.0,1.5,15,1d,50,15
2020-07-24 00:00:00+00:00,2020-07-27 00:00:00+00:00,2020-07-30 00:00:00+00:00,long,1901.699951171875,1936.096396309989,0.03,True,4.0,trailing_stop,0.0180872093502015,0.0175872093502015,0.0333386054803197,2.0,1.5,15,1d,50,15
2020-07-27 00:00:00+00:00,2020-07-28 00:00:00+00:00,2020-08-04 00:00:00+00:00,long,1931.5,1978.9356733049665,0.03,True,6.0,trailing_stop,0.0245589817783931,0.0240589817783931,0.0438519032730391,2.0,1.5,15,1d,50,15
2020-07-28 00:00:00+00:00,2020-07-29 00:00:00+00:00,2020-08-04 00:00:00+00:00,long,1953.199951171875,1978.9356733049665,0.03,True,5.0,trailing_stop,0.0131761840960782,0.0126761840960782,0.0322547622234996,2.0,1.5,15,1d,50,15
2020-07-29 00:00:00+00:00,2020-07-30 00:00:00+00:00,2020-08-07 00:00:00+00:00,long,1963.4000244140625,2020.142857142857,0.03,True,5.0,trailing_stop,0.0289002913431908,0.0284002913431908,0.0507283153445314,2.0,1.5,15,1d,50,15
2020-08-04 00:00:00+00:00,2020-08-05 00:00:00+00:00,2020-08-11 00:00:00+00:00,long,2024.0,1974.3142961774556,0.03,False,,initial_stop,-0.0245482726395971,-0.0250482726395971,0.0192687747035573,2.0,1.5,15,1d,50,15
2021-05-06 00:00:00+00:00,2021-05-07 00:00:00+00:00,2021-05-28 00:00:00+00:00,long,1842.9000244140625,1883.7357046944755,0.03,True,14.0,trailing_stop,0.0221583806714615,0.0216583806714615,0.0339139395366123,2.0,1.5,15,1d,50,15
